X,Y,LT,LD,SL,DD,RF,LULC,SO,AL,TWI,PC,Yields,Class
811593.0,9225310.0,4.0,0.0,0.0,1.135,4375.683,4.0,2.0,703.0,11.379,0.0,0.02,1.0
817843.0,9220255.0,5.0,0.613,39.005,3.087,4044.593,5.0,2.0,1277.0,4.274,1.0,0.02,1.0
777739.0,9222140.0,18.0,0.0,4.045,1.606,3933.862,1.0,3.0,773.0,7.101,0.0,0.06,1.0
776734.0,9221960.0,18.0,0.0,23.717,2.56,3913.612,4.0,3.0,797.0,5.721,3.0,0.06,1.0
813927.0,9222780.0,5.0,0.833,9.697,2.037,4165.624,1.0,2.0,831.0,5.732,0.0,0.09,1.0
817593.0,9220854.0,5.0,0.681,18.255,2.982,4065.538,1.0,2.0,1032.0,7.184,-1.0,0.1,1.0
816798.0,9220993.0,5.0,0.378,9.09,3.447,4058.579,1.0,2.0,980.0,6.951,6.0,0.1,1.0
815528.0,9222685.0,5.0,0.0,21.107,3.159,4080.38,1.0,2.0,895.0,4.153,-4.0,0.1,1.0
780881.0,9216983.0,6.0,0.278,5.419,2.053,3814.467,1.0,2.0,798.0,14.41,5.0,0.1,1.0
780323.0,9217424.0,6.0,0.38,20.528,1.727,3842.255,1.0,2.0,869.0,3.648,0.0,0.12,1.0
795358.0,9215487.0,6.0,0.191,5.174,3.07,3801.669,1.0,2.0,958.0,15.518,0.0,0.12,1.0
794739.0,9219823.0,12.0,1.432,10.142,2.743,3969.803,1.0,3.0,884.0,7.681,0.0,0.12,1.0
776398.0,9221765.0,18.0,0.163,4.045,2.696,3896.358,4.0,3.0,810.0,5.745,0.0,0.14,1.0
781160.0,9218037.0,6.0,0.0,6.89,1.396,3882.413,1.0,2.0,757.0,3.91,4.0,0.16,1.0
780988.0,9218120.0,6.0,0.0,15.793,1.449,3887.761,1.0,2.0,760.0,4.567,3.0,0.16,1.0
795147.0,9216345.0,6.0,0.134,22.666,3.069,3841.839,1.0,2.0,925.0,4.853,0.0,0.16,1.0
795507.0,9219612.0,12.0,1.918,14.88,3.152,3962.292,1.0,3.0,891.0,5.549,0.0,0.16,1.0
785533.0,9217524.0,6.0,0.0,16.942,2.406,3895.462,1.0,3.0,795.0,4.887,3.0,0.16,1.0
789849.0,9219778.0,6.0,0.831,2.919,2.288,3973.578,1.0,3.0,832.0,13.071,3.0,0.16,1.0
811528.0,9220953.0,5.0,0.702,9.664,3.163,4117.407,1.0,2.0,885.0,6.497,-2.0,0.17,1.0
815612.0,9223023.0,5.0,0.0,4.355,2.733,4076.05,4.0,2.0,854.0,6.091,0.0,0.2,1.0
812334.0,9220222.0,5.0,0.788,12.156,4.121,4070.333,1.0,2.0,1029.0,5.286,-3.0,0.2,1.0
784037.0,9209707.0,6.0,1.306,15.812,2.875,3522.561,1.0,2.0,1215.0,6.629,2.0,0.2,1.0
796584.0,9237194.0,11.0,0.608,13.129,2.017,4935.992,4.0,3.0,812.0,4.541,-9.0,0.2,1.0
785603.0,9217563.0,6.0,0.0,9.794,2.408,3898.594,1.0,3.0,779.0,7.028,0.0,0.2,1.0
812639.0,9223521.0,5.0,0.047,3.337,1.799,4216.26,1.0,2.0,760.0,14.664,1.0,0.21,1.0
815185.0,9226529.0,11.0,0.144,9.365,2.162,4483.044,1.0,2.0,763.0,4.878,1.0,0.22,1.0
793335.0,9214019.0,6.0,0.381,16.254,4.19,3771.518,1.0,2.0,1288.0,6.468,3.0,0.24,1.0
795719.0,9219746.0,12.0,2.041,16.611,3.063,3967.707,1.0,3.0,887.0,5.882,3.0,0.24,1.0
789965.0,9218912.0,6.0,0.0,4.125,3.378,3951.833,1.0,3.0,867.0,9.797,3.0,0.24,1.0
789332.0,9218241.0,6.0,0.0,15.737,3.898,3944.402,1.0,3.0,839.0,5.897,-4.0,0.24,1.0
793856.0,9219327.0,6.0,1.359,17.631,3.046,3952.152,1.0,3.0,897.0,5.33,0.0,0.24,1.0
812613.0,9225415.0,4.0,0.111,6.652,1.487,4384.199,4.0,2.0,719.0,5.422,2.0,0.25,1.0
810036.0,9220468.0,5.0,0.645,9.794,2.519,4087.865,1.0,2.0,753.0,8.377,0.0,0.27,1.0
799061.0,9213811.0,6.0,1.261,6.455,3.251,3756.81,1.0,2.0,900.0,5.745,0.0,0.28,1.0
778229.0,9217171.0,6.0,2.211,12.156,1.646,3753.277,1.0,2.0,1196.0,4.382,-4.0,0.28,1.0
775997.0,9221565.0,18.0,0.29,2.561,2.414,3880.591,4.0,3.0,820.0,10.553,3.0,0.28,1.0
777126.0,9222142.0,18.0,0.0,2.561,2.502,3926.623,4.0,3.0,789.0,8.453,3.0,0.28,1.0
776863.0,9221992.0,18.0,0.0,6.843,2.533,3916.927,4.0,3.0,791.0,12.071,3.0,0.28,1.0
818401.0,9225071.0,11.0,1.159,7.209,2.462,4374.827,1.0,2.0,972.0,9.063,4.0,0.3,1.0
812729.0,9222142.0,5.0,0.852,17.299,2.215,4166.893,1.0,2.0,825.0,8.909,6.0,0.3,1.0
805850.0,9218252.0,3.0,0.0,4.574,3.696,3985.651,1.0,2.0,730.0,7.467,0.0,0.3,1.0
776291.0,9221722.0,18.0,0.206,6.303,2.682,3891.765,4.0,3.0,814.0,6.03,-3.0,0.3,1.0
812907.0,9224052.0,5.0,0.534,4.125,1.867,4248.026,1.0,2.0,756.0,13.715,3.0,0.31,1.0
810754.0,9221539.0,5.0,0.421,4.917,1.518,4149.387,1.0,2.0,747.0,15.286,6.0,0.33,1.0
812265.0,9218893.0,5.0,1.27,6.89,3.591,4051.825,1.0,2.0,1077.0,7.186,5.0,0.33,1.0
785880.0,9213032.0,6.0,0.788,15.02,2.927,3702.032,1.0,2.0,1149.0,7.229,-2.0,0.33,1.0
801902.0,9217528.0,6.0,0.0,1.811,3.015,3889.856,4.0,2.0,778.0,7.632,-3.0,0.34,1.0
799061.0,9213811.0,6.0,1.261,6.455,3.251,3756.81,1.0,2.0,900.0,5.745,0.0,0.34,1.0
776179.0,9221718.0,18.0,0.225,6.147,2.6,3889.972,1.0,3.0,810.0,10.907,-3.0,0.34,1.0
814083.0,9227757.0,10.0,0.513,6.455,1.905,4541.699,4.0,2.0,729.0,6.083,0.0,0.36,1.0
813927.0,9222278.0,5.0,1.369,1.811,2.497,4136.024,1.0,2.0,862.0,4.993,3.0,0.36,1.0
811245.0,9222456.0,5.0,0.053,8.207,1.851,4187.363,1.0,2.0,720.0,8.47,-2.0,0.36,1.0
815061.0,9227478.0,10.0,0.223,12.604,1.637,4526.579,1.0,2.0,785.0,6.09,3.0,0.4,1.0
794347.0,9214439.0,6.0,0.656,5.711,4.345,3777.627,1.0,2.0,1134.0,4.37,-1.0,0.4,1.0
798003.0,9239480.0,11.0,0.273,16.254,3.212,5109.365,1.0,3.0,994.0,3.616,-1.0,0.4,1.0
801470.0,9240836.0,17.0,1.198,23.684,4.854,5222.798,5.0,3.0,1353.0,5.336,3.0,0.4,1.0
803361.0,9232452.0,17.0,0.193,9.16,2.076,4734.308,4.0,3.0,732.0,11.206,8.0,0.4,1.0
789184.0,9220272.0,18.0,0.69,5.111,2.227,4005.915,1.0,3.0,773.0,8.869,1.0,0.4,1.0
788698.0,9221123.0,18.0,0.106,17.299,2.163,4066.071,1.0,3.0,712.0,7.237,1.0,0.4,1.0
789879.0,9221363.0,18.0,0.15,16.942,3.179,4087.866,1.0,3.0,729.0,6.005,-2.0,0.4,1.0
790528.0,9217452.0,6.0,0.192,5.111,3.932,3900.521,4.0,3.0,989.0,5.155,1.0,0.4,1.0
